 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  23   -44.0000     -71.285 0.3279   0.3297E-01  0.6949E-03 -0.3861E-01  0.0000E+00      -1  -0.562E-01   20.00
  24   -46.0000     -71.430 0.3278   0.3285E-01  0.6949E-03 -0.3250E-01  0.0000E+00      -1  -0.473E-01   20.00
  25   -48.0000     -71.234 0.3280   0.3300E-01  0.6948E-03 -0.2734E-01  0.0000E+00      -1  -0.398E-01   20.00
  26   -50.0000     -70.740 0.3283   0.3339E-01  0.6947E-03 -0.2306E-01  0.0000E+00      -1  -0.335E-01   20.00
  27   -52.0000     -69.995 0.3288   0.3396E-01  0.6944E-03 -0.1956E-01  0.0000E+00      -1  -0.284E-01   20.00
  28   -54.0000     -69.042 0.3295   0.3470E-01  0.6941E-03 -0.1673E-01  0.0000E+00      -1  -0.243E-01   20.00
  29   -56.0000     -67.923 0.3303   0.3557E-01  0.6937E-03 -0.1448E-01  0.0000E+00      -1  -0.211E-01   20.00
  30   -58.0000     -66.672 0.3312   0.3653E-01  0.6932E-03 -0.1275E-01  0.0000E+00      -1  -0.186E-01   20.00
  31   -60.0000     -65.244 0.3336   0.4740E-01  0.1470E-02 -0.1082E-01  0.0000E+00      -1  -0.157E-01   20.00
  32   -62.0000     -63.641 0.3359   0.4981E-01  0.1481E-02 -0.8725E-02  0.0000E+00      -1  -0.127E-01   20.00
  33   -64.0000     -61.947 0.3384   0.5235E-01  0.1492E-02 -0.7099E-02  0.0000E+00      -1  -0.103E-01   20.00
  34   -66.0000     -60.185 0.3410   0.5499E-01  0.1504E-02 -0.5842E-02  0.0000E+00      -1  -0.850E-02   20.00
  35   -68.0000     -58.370 0.3437   0.5936E-01  0.1505E-02 -0.4858E-02  0.0000E+00      -1  -0.707E-02   20.00
  36   -70.0000     -56.513 0.3465   0.6408E-01  0.1504E-02 -0.4085E-02  0.0000E+00      -1  -0.594E-02   20.00
  37   -72.0000     -54.626 0.3494   0.6889E-01  0.1504E-02 -0.3490E-02  0.0000E+00      -1  -0.508E-02   20.00
  38   -74.0000     -52.717 0.3523   0.7374E-01  0.1503E-02 -0.3037E-02  0.0000E+00      -1  -0.442E-02   20.00
  39   -76.0000     -50.791 0.3552   0.7864E-01  0.1502E-02 -0.2698E-02  0.0000E+00      -1  -0.393E-02   20.00
  40   -78.0000     -48.854 0.3581   0.8357E-01  0.1502E-02 -0.2453E-02  0.0000E+00      -1  -0.357E-02   20.00
  41   -80.0000     -46.909 0.3610   0.8928E-01  0.1496E-02 -0.2289E-02  0.0000E+00      -1  -0.333E-02   20.00
  42   -82.0000     -44.957 0.3639   0.9673E-01  0.1477E-02 -0.2191E-02  0.0000E+00      -1  -0.319E-02   20.00
  43   -84.0000     -43.000 0.3667   0.1042E+00  0.1458E-02 -0.2148E-02  0.0000E+00      -1  -0.312E-02   20.00
  44   -86.0000     -41.039 0.3696   0.1117E+00  0.1439E-02 -0.2152E-02  0.0000E+00      -1  -0.313E-02   20.00
  45   -88.0000     -39.077 0.3725   0.1192E+00  0.1420E-02 -0.2197E-02  0.0000E+00      -1  -0.320E-02   20.00
  46   -90.0000     -37.113 0.3753   0.1274E+00  0.1396E-02 -0.2274E-02  0.0000E+00      -1  -0.331E-02   20.00
  47   -92.0000     -35.148 0.3779   0.1375E+00  0.1357E-02 -0.2378E-02  0.0000E+00      -1  -0.346E-02   20.00
  48   -94.0000     -33.182 0.3805   0.1477E+00  0.1318E-02 -0.2508E-02  0.0000E+00      -1  -0.365E-02   20.00
  49   -96.0000     -31.216 0.3831   0.1578E+00  0.1280E-02 -0.2660E-02  0.0000E+00      -1  -0.387E-02   20.00
  50   -98.0000     -29.249 0.3857   0.1687E+00  0.1236E-02 -0.2822E-02  0.0000E+00      -1  -0.410E-02   20.00
  51  -100.0000     -27.283 0.3880   0.1814E+00  0.1180E-02 -0.2988E-02  0.0000E+00      -1  -0.435E-02   20.00
  52  -102.0000     -25.315 0.3903   0.1940E+00  0.1123E-02 -0.3166E-02  0.0000E+00      -1  -0.460E-02   20.00
  53  -104.0000     -23.348 0.3925   0.2070E+00  0.1065E-02 -0.3340E-02  0.0000E+00      -1  -0.486E-02   20.00
  54  -106.0000     -21.380 0.3945   0.2218E+00  0.9948E-03 -0.3506E-02  0.0000E+00      -1  -0.510E-02   20.00
  55  -108.0000     -19.411 0.3964   0.2366E+00  0.9245E-03 -0.3677E-02  0.0000E+00      -1  -0.535E-02   20.00
  56  -110.0000     -17.442 0.3981   0.2526E+00  0.8472E-03 -0.3836E-02  0.0000E+00      -1  -0.558E-02   20.00
  57  -112.0000     -15.472 0.3998   0.2693E+00  0.7662E-03 -0.3982E-02  0.0000E+00      -1  -0.579E-02   20.00
  58  -114.0000     -13.501 0.4012   0.2869E+00  0.6801E-03 -0.4113E-02  0.0000E+00      -1  -0.598E-02   20.00
  59  -116.0000     -11.529 0.4025   0.3051E+00  0.5909E-03 -0.4219E-02  0.0000E+00      -1  -0.614E-02   20.00
  60  -118.0000      -9.556 0.4036   0.3243E+00  0.4971E-03 -0.4312E-02  0.0000E+00      -1  -0.627E-02   20.00
  61  -120.0000      -7.582 0.4044   0.3443E+00  0.4000E-03 -0.4395E-02  0.0000E+00      -1  -0.639E-02   20.00
  62  -122.0000      -5.607 0.4051   0.3651E+00  0.2998E-03 -0.4454E-02  0.0000E+00      -1  -0.648E-02   20.00
  63  -124.0000      -3.631 0.4056   0.3867E+00  0.1970E-03 -0.4490E-02  0.0000E+00      -1  -0.653E-02   20.00
  64  -126.0000      -1.654 0.4059   0.4093E+00  0.9157E-04 -0.4511E-02  0.0000E+00      -1  -0.656E-02   20.00
  65  -128.0000       0.325 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  66  -130.0000       2.304 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  67  -132.0000       4.283 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  68  -134.0000       6.262 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  69  -136.0000       8.240 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  70  -138.0000      10.219 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  71  -140.0000      12.198 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  72  -142.0000      14.177 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  73  -144.0000      16.156 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  74  -146.0000      18.135 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  75  -148.0000      20.114 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  76  -150.0000      22.093 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
  77  -152.0000      24.072 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
